Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,US,Massachusetts,Boston,1,1,2015,26.1
North America,US,Massachusetts,Boston,2,1,2015,19.3
North America,US,Massachusetts,Boston,3,1,2015,23.0
North America,US,Massachusetts,Boston,4,1,2015,39.0
North America,US,Massachusetts,Boston,5,1,2015,45.4
North America,US,Massachusetts,Boston,6,1,2015,48.2
North America,US,Massachusetts,Boston,7,1,2015,69.5
North America,US,Massachusetts,Boston,8,1,2015,78.7
North America,US,Massachusetts,Boston,9,1,2015,75.6
North America,US,Massachusetts,Boston,10,1,2015,57.7
North America,US,Massachusetts,Boston,11,1,2015,52.9
North America,US,Massachusetts,Boston,12,1,2015,37.7
North America,US,Massachusetts,Boston,1,1,2016,39.1
North America,US,Massachusetts,Boston,2,1,2016,49.5
North America,US,Massachusetts,Boston,3,1,2016,41.6
North America,US,Massachusetts,Boston,4,1,2016,63.1
North America,US,Massachusetts,Boston,5,1,2016,48.2
North America,US,Massachusetts,Boston,6,1,2016,68.8
North America,US,Massachusetts,Boston,7,1,2016,75.5
North America,US,Massachusetts,Boston,8,1,2016,70.6
North America,US,Massachusetts,Boston,9,1,2016,74.4
North America,US,Massachusetts,Boston,10,1,2016,56.9
North America,US,Massachusetts,Boston,11,1,2016,42.4
North America,US,Massachusetts,Boston,12,1,2016,50.2
North America,US,Massachusetts,Boston,1,1,2017,40.0
North America,US,Massachusetts,Boston,2,1,2017,32.2
North America,US,Massachusetts,Boston,3,1,2017,52.8
North America,US,Massachusetts,Boston,4,1,2017,35.2
North America,US,Massachusetts,Boston,5,1,2017,46.9
North America,US,Massachusetts,Boston,6,1,2017,66.5
North America,US,Massachusetts,Boston,7,1,2017,76.1
North America,US,Massachusetts,Boston,8,1,2017,74.4
North America,US,Massachusetts,Boston,9,1,2017,62.3
North America,US,Massachusetts,Boston,10,1,2017,54.7
North America,US,Massachusetts,Boston,11,1,2017,48.3
North America,US,Massachusetts,Boston,12,1,2017,46.3
North America,US,Massachusetts,Boston,1,1,2018,5.6
North America,US,Massachusetts,Boston,2,1,2018,34.7
North America,US,Massachusetts,Boston,3,1,2018,47.5
North America,US,Massachusetts,Boston,4,1,2018,47.9
North America,US,Massachusetts,Boston,5,1,2018,51.5
North America,US,Massachusetts,Boston,6,1,2018,70.4
North America,US,Massachusetts,Boston,7,1,2018,82.4
North America,US,Massachusetts,Boston,8,1,2018,74.7
North America,US,Massachusetts,Boston,9,1,2018,68.2
North America,US,Massachusetts,Boston,10,1,2018,61.6
North America,US,Massachusetts,Boston,11,1,2018,57.9
North America,US,Massachusetts,Boston,12,1,2018,38.7
North America,US,Massachusetts,Boston,1,1,2019,47.2
North America,US,Massachusetts,Boston,2,1,2019,16.0
North America,US,Massachusetts,Boston,3,1,2019,29.4
North America,US,Massachusetts,Boston,4,1,2019,42.3
North America,US,Massachusetts,Boston,5,1,2019,50.6
North America,US,Massachusetts,Boston,6,1,2019,60.0
North America,US,Massachusetts,Boston,7,1,2019,71.0
North America,US,Massachusetts,Boston,8,1,2019,79.5
North America,US,Massachusetts,Boston,9,1,2019,68.5
North America,US,Massachusetts,Boston,10,1,2019,62.2
North America,US,Massachusetts,Boston,11,1,2019,62.2
North America,US,Massachusetts,Boston,12,1,2019,28.6
